cycle_id	timestamp	ticker	action	confidence	tokens_used	elapsed_sec	outcome	realized_pnl	status	experiment_desc	snapshot_ref
cycle-1779325069	2026-05-21T01:06:25.116486+00:00	AAPL	SELL	95	0	0.00		0.0000	ok		
cycle-1779326032	2026-05-21T01:21:27.060828+00:00	AAPL	SELL	95	0	0.00		0.0000	ok		
cycle-1779347255	2026-05-21T07:19:58.563934+00:00	CAC	SELL	0	0	0.00		0.0000	ok		
cycle-1779347255	2026-05-21T07:28:39.005888+00:00	IP	SELL	0	0	0.00		0.0000	ok		
cycle-1779347255	2026-05-21T07:28:39.537261+00:00	AMZN	SELL	0	0	0.00		0.0000	ok		
cycle-1779347255	2026-05-21T07:38:10.089921+00:00	SMCI	SELL	0	0	0.00		0.0000	ok		
cycle-1779347255	2026-05-21T07:48:22.068207+00:00	ROST	BUY	75	0	0.00		0.0000	ok		
cycle-1779347255	2026-05-21T07:58:15.089122+00:00	RLAY	SELL	0	0	0.00		0.0000	ok		
cycle-1779347255	2026-05-21T08:18:04.975302+00:00	TSLA	SELL	0	0	0.00		0.0000	ok		
cycle-1779347255	2026-05-21T08:18:05.337593+00:00	MSFT	SELL	0	0	0.00		0.0000	ok		
