/home/lazycat/github/projects/sun/trading-service/.venv/lib/python3.12/site-packages/pydantic/main.py:263: UserWarning: API_SERVER_KEY is set to the default insecure value!
  validated_self = self.__pydantic_validator__.validate_python(data, self_instance=self)
=== AUDIT FOR CYCLE cycle-1779695975 ===
[2026-05-25 07:59:35.898831+00:00] starting |  | info | Entering phase 'starting' with 0 tickers | {"timestamp":547635.997915123,"ticker_count":0}
[2026-05-25 07:59:35.993279+00:00] starting |  | info | Exiting phase 'starting': 0 ok, 0 errors (0% success) in 0.0s | {"elapsed_s":0,"errors_count":0,"success_rate":0,"results_count":0}
[2026-05-25 07:59:36.009606+00:00] collecting |  | info | Entering phase 'collecting' with 30 tickers | {"timestamp":547636.108882293,"ticker_count":30}
[2026-05-25 07:59:36.052901+00:00] analyzing |  | info | Entering phase 'analyzing' with 30 tickers | {"timestamp":547636.152166915,"ticker_count":30}
[2026-05-25 08:02:48.135464+00:00] collecting |  | info | Exiting phase 'collecting': 30 ok, 0 errors (100% success) in 0.0s | {"elapsed_s":0,"errors_count":0,"success_rate":100.0,"results_count":30}
[2026-05-25 08:06:22.311859+00:00] analyzing | AERO | info | AERO: HOLD @ 72% (387.6s) — OK | {"action":"HOLD","issues":[],"elapsed_s":387.62,"escalated":false,"has_error":false,"confidence":72,"config_used":"v2_cognition","total_tokens":14093}
[2026-05-25 08:06:27.491653+00:00] analyzing | FDS | info | FDS: HOLD @ 75% (392.8s) — OK | {"action":"HOLD","issues":[],"elapsed_s":392.8,"escalated":false,"has_error":false,"confidence":75,"config_used":"v2_cognition","total_tokens":14661}
[2026-05-25 08:06:42.086484+00:00] analyzing | LITE | info | LITE: HOLD @ 72% (407.4s) — OK | {"action":"HOLD","issues":[],"elapsed_s":407.4,"escalated":false,"has_error":false,"confidence":72,"config_used":"v2_cognition","total_tokens":14763}
[2026-05-25 08:06:49.336668+00:00] analyzing | TMO | info | TMO: HOLD @ 75% (414.6s) — OK | {"action":"HOLD","issues":[],"elapsed_s":414.65,"escalated":false,"has_error":false,"confidence":75,"config_used":"v2_cognition","total_tokens":16047}
[2026-05-25 08:12:24.197163+00:00] analyzing | SHLS | info | SHLS: HOLD @ 65% (356.7s) — OK | {"action":"HOLD","issues":[],"elapsed_s":356.69,"escalated":false,"has_error":false,"confidence":65,"config_used":"v2_cognition","total_tokens":15683}
[2026-05-25 08:12:42.019735+00:00] analyzing | ADP | info | ADP: SELL @ 78% (379.7s) — OK | {"action":"SELL","issues":[],"elapsed_s":379.68,"escalated":false,"has_error":false,"confidence":78,"config_used":"v2_cognition","total_tokens":15912}
